id,name,parentcategories
1,徽州毛豆腐,安徽菜
2,腐乳爆肉,安徽菜
3,蒸香菇盒,安徽菜
4,符离集烧鸡,安徽菜
5,酥糊里脊,安徽菜
6,云雾肉,安徽菜
7,鱼咬羊,安徽菜
8,火腿炖鞭笋,安徽菜
9,淮南牛肉汤,安徽菜
10,老蚌怀珠,安徽菜
11,曹操鸡,安徽菜
12,黄山炖鸽,安徽菜
13,白汁鳜鱼,安徽菜
14,清炖马蹄鳖,安徽菜
15,红烧臭鳜鱼,安徽菜
16,毛峰熏鲥鱼,安徽菜
17,鱼羊炖时蔬,安徽菜
18,屯溪醉蟹,安徽菜
19,干贝萝卜,安徽菜
20,八公山豆腐,安徽菜
21,臭鳜鱼,安徽菜
22,奶汁肥王鱼,安徽菜
23,无为熏鸭,安徽菜
24,政山笋,安徽菜
25,大救驾,安徽菜
26,北京烤鸭,北京菜&天津菜
27,涮羊肉,北京菜&天津菜
28,炮糊,北京菜&天津菜
29,它似蜜,北京菜&天津菜
30,红娘自配,北京菜&天津菜
31,天福酱肘子,北京菜&天津菜
32,艾窝,北京菜&天津菜
33,三不粘,北京菜&天津菜
34,狗不理包子,北京菜&天津菜
35,十八街麻花,北京菜&天津菜
36,耳朵眼炸糕,北京菜&天津菜
37,锅包肉,东北菜
38,扒猪脸,东北菜
39,杀猪菜,东北菜
40,酱骨头,东北菜
41,猪肉炖粉条,东北菜
42,得莫利炖活,东北菜
43,小鸡炖蘑菇,东北菜
44,清蒸白,东北菜
45,马家烧卖,东北菜
46,老边饺子,东北菜
47,半月沉江,福建菜
48,醉排骨,福建菜
49,东壁龙珠,福建菜
50,七星鱼丸,福建菜
51,爆糟肉,福建菜
52,醉糟鸡,福建菜
53,炒西施舌,福建菜
54,花芋烧猪蹄,福建菜
55,当归牛腩,福建菜
56,佛跳墙,福建菜
57,鸡蓉金丝笋,福建菜
58,沙茶焖鸭块,福建菜
59,白炒鲜竹蛏,福建菜
60,糟汁汆海蚌,福建菜
61,芙蓉干贝,福建菜
62,熏河鳗,福建菜
63,萝卜蜇丝,福建菜
64,清汤鲍鱼,福建菜
65,蚝仔煎,福建菜
66,酸菜灴梅鱼,福建菜
67,福州春卷,福建菜
68,鼎边糊,福建菜
69,太极芋泥,福建菜
70,扁肉燕,福建菜
71,仔煎,福建菜
72,棺材板,福建菜
73,鼎湖上素,广东菜
74,咸鱼蒸肉饼,广东菜
75,咕噜肉,广东菜
76,梅菜扣肉,广东菜
77,白云猪手,广东菜
78,生啫鱼头煲,广东菜
79,白切鸡,广东菜
80,东江盐焗鸡,广东菜
81,生炊龙虾,广东菜
82,干焗蟹塔,广东菜
83,大良炒鲜奶,广东菜
84,红烧大裙翅,广东菜
85,老婆饼,广东菜
86,干炒牛河,广东菜
87,蒸肠粉,广东菜
88,及第粥,广东菜
89,艇仔粥,广东菜
90,广州文昌鸡,广东菜
91,龙虎斗,广东菜
92,烤乳猪,广东菜
93,黄埔炒蛋,广东菜
94,莲藕焖猪蹄,广东菜
95,东江酿豆腐,广东菜
96,东坡扣肉,广东菜
97,太爷鸡,广东菜
98,护国菜,广东菜
99,烧雁鹅,广东菜
100,牛肉丸,广东菜
101,洛阳燕菜,河南菜
102,糖醋软熘鱼焙面,河南菜
103,套四宝,河南菜
104,炸紫酥肉,河南菜
105,煎扒青鱼头尾,河南菜
106,杂烩菜,河南菜
107,一品包子,河南菜
108,鱼圆,湖北菜
109,清蒸武昌鱼,湖北菜
110,炸酥鱼,湖北菜
111,龙凤配,湖北菜
112,冬瓜鳖裙羹,湖北菜
113,沔阳三蒸,湖北菜
114,武汉热干面,湖北菜
115,云梦鱼面,湖北菜
116,红菜薹炒腊肉,湖北菜
117,千张肉,湖北菜
118,山口羊肉,湖北菜
119,应山滑肉,湖北菜
120,二回头,湖北菜
121,翰林鸡,湖北菜
122,油淋庄鸡,湖南菜
123,长沙臭豆腐,湖南菜
124,玉麟香腰,湖南菜
125,祖庵豆腐,湖南菜
126,东安子鸡,湖南菜
127,湘西土匪鸭,湖南菜
128,毛氏红烧肉,湖南菜
129,剁椒鱼头,湖南菜
130,祁阳笔鱼,湖南菜
131,宝庆猪血丸子,湖南菜
132,冰糖湘莲,湖南菜
133,祖庵鱼翅,湖南菜
134,腊味合蒸,湖南菜
135,麻辣子鸡,湖南菜
136,蝴蝶飘海,湖南菜
137,君山银针鸡片,湖南菜
138,常德钵子菜,湖南菜
139,湘西酸肉,湖南菜
140,炒血鸭,湖南菜
141,土家腊肉,湖南菜
142,泥鳅钻豆腐,湖南菜
143,阳澄湖大闸蟹,江苏菜
144,水晶肴蹄,江苏菜
145,蟹粉狮子头,江苏菜
146,金陵盐水鸭,江苏菜
147,霸王别姬,江苏菜
148,叫花鸡,江苏菜
149,松鼠鱖鱼,江苏菜
150,羊方藏鱼,江苏菜
151,红烧大乌,江苏菜
152,凤尾对虾,江苏菜
153,虾仁锅巴,江苏菜
154,煮干丝,江苏菜
155,炖菜核,江苏菜
156,枫镇大面,江苏菜
157,无锡肉骨头,江苏菜
158,三丁大包,江苏菜
159,黄桥烧饼,江苏菜
160,扬州炒饭,江苏菜
161,清炖蟹粉狮子头,江苏菜
162,扒烧整猪头,江苏菜
163,拆烩鲢鱼头,江苏菜
164,大煮干丝,江苏菜
165,三套鸭,江苏菜
166,水晶肴肉,江苏菜
167,平桥豆腐,江苏菜
168,炖生敲,江苏菜
169,太湖银鱼,江苏菜
170,陆稿荐酱汁肉,江苏菜
171,无锡排骨,江苏菜
172,梁溪脆鳝,江苏菜
173,莲花血鸭,江西菜
174,四星望月,江西菜
175,天麻煮童鸡,江西菜
176,藜蒿炒腊肉,江西菜
177,临川牛杂,江西菜
178,瓦罐煨汤,江西菜
179,金板搭银桥,江西菜
180,鱼钻豆腐,江西菜
181,四喜丸子,山东菜
182,金钩挂银条,山东菜
183,诗礼银杏,山东菜
